# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.6750,1.7750,0.6500,0.6500
-2.7250,1.7750,0.6500,0.6500
-2.7750,1.7750,0.6500,0.6500
-2.8250,1.7750,0.6500,0.6500
-2.8750,1.7750,0.6500,0.6500
-2.9250,1.7750,0.6500,0.6500
-2.9750,1.7750,0.6500,0.6500
-3.0250,1.7750,0.6500,0.6500
-3.0750,1.7750,0.6500,0.6500
-3.1250,1.7750,0.6500,0.6500
-3.1750,1.7750,0.6500,0.6500
-3.2250,1.7750,0.6500,0.6500
-3.2750,1.7750,0.6500,0.6500
-3.3250,1.7750,0.6500,0.6500
-3.3750,1.7750,0.6500,0.6500
-3.4250,1.7750,0.6519,0.6519
-3.4750,1.8250,0.7000,0.7000
-3.5250,1.8250,0.7000,0.7000
-3.5750,1.8250,0.7000,0.7000
-3.6250,1.8250,0.7000,0.7000
-3.6750,1.8250,0.7000,0.7000
-3.7250,1.8250,0.7000,0.7000
-3.7750,1.8250,0.7000,0.7000
-3.8250,1.8250,0.7018,0.7018
-3.8750,1.8250,0.7000,0.7000
-3.9250,1.8250,0.7000,0.7000
-3.9750,1.8250,0.7018,0.7018
-4.0250,1.8250,0.7071,0.7071
-4.0750,1.8250,0.7018,0.7018
-4.1250,1.8250,0.7000,0.7000
-4.1750,1.8250,0.7000,0.7000
-4.2250,1.8250,0.7000,0.7000
-4.2750,1.8250,0.7000,0.7000
-4.3250,1.8250,0.7000,0.7000
-4.3750,1.8250,0.7000,0.7000
-4.4250,1.8250,0.7000,0.7000
-4.4750,1.8250,0.7000,0.7000
-4.5250,1.8250,0.7000,0.7000
-4.5750,1.8250,0.7000,0.7000
-4.6250,1.8250,0.7000,0.7000
-4.6750,1.8250,0.7000,0.7000
-4.7250,1.8750,0.7500,0.7500
-4.7750,1.8750,0.7500,0.7500
-4.8250,1.8750,0.7500,0.7500
-4.8750,1.8750,0.7500,0.7500
-4.9250,1.8750,0.7500,0.7500
-4.9750,1.8750,0.7500,0.7500
-5.0250,1.9250,0.7500,0.7500
